2018-07-18 14:47:55,871 - EXPERIMENT ([0, 50, 0.29, 0.08, ['A_1', 'A_2', 'A_3', 'A_4', 'A_5', 'B_6', 'B_7', 'B_8', 'B_9', 'B_10'], 0.12],)
2018-07-18 14:47:55,886 - EXPERIMENT ([0, 51, 0.39, 0.11, ['A_1', 'A_2', 'A_3', 'A_4', 'A_5', 'B_6', 'B_7', 'B_8', 'B_9', 'B_10'], 0.04],)
2018-07-18 14:47:55,895 - EXPERIMENT ([0, 52, -0.07, 0.34, ['A_1', 'A_2', 'A_3', 'A_4', 'B_5', 'B_6', 'B_7', 'B_8', 'B_9', 'B_10'], 0.05],)
2018-07-18 14:47:55,899 - EXPERIMENT ([0, 53, -0.03, 0.01, ['A_1', 'A_2', 'A_3', 'A_4', 'B_5', 'B_6', 'B_7', 'B_8', 'B_9', 'B_10'], 0.35],)
2018-07-18 14:47:55,907 - EXPERIMENT ([0, 54, 0.02, 0.13, ['A_1', 'A_2', 'A_3', 'A_4', 'B_5', 'B_6', 'B_7', 'B_8', 'B_9', 'B_10'], 0.27],)
2018-07-18 14:47:55,912 - EXPERIMENT ([0, 55, 0.47, 0.19, ['A_1', 'A_2', 'A_3', 'A_4', 'A_5', 'A_6', 'B_7', 'B_8', 'B_9', 'B_10'], 0.01],)
2018-07-18 14:47:55,917 - EXPERIMENT ([0, 56, -0.07, 0.25, ['A_1', 'A_2', 'A_3', 'B_4', 'B_5', 'B_6', 'B_7', 'B_8', 'B_9', 'B_10'], 0.33],)
2018-07-18 14:47:55,923 - EXPERIMENT ([0, 57, 0.6, 0.04, ['A_1', 'A_2', 'A_3', 'A_4', 'A_5', 'A_6', 'B_7', 'B_8', 'B_9', 'B_10'], 0.31],)
2018-07-18 14:47:55,928 - EXPERIMENT ([0, 58, 0.65, 0.07, ['A_1', 'A_2', 'A_3', 'A_4', 'A_5', 'A_6', 'B_7', 'B_8', 'B_9', 'B_10'], 0.33],)
2018-07-18 14:47:55,933 - EXPERIMENT ([0, 59, 0.61, 0.36, ['A_1', 'A_2', 'A_3', 'A_4', 'A_5', 'A_6', 'A_7', 'B_8', 'B_9', 'B_10'], 0.37],)
2018-07-18 14:47:55,939 - EXPERIMENT ([0, 60, 0.34, 0.14, ['A_1', 'A_2', 'A_3', 'A_4', 'A_5', 'B_6', 'B_7', 'B_8', 'B_9', 'B_10'], 0.38],)
2018-07-18 14:47:55,944 - EXPERIMENT ([0, 61, 0.07, 0.31, ['A_1', 'A_2', 'A_3', 'A_4', 'B_5', 'B_6', 'B_7', 'B_8', 'B_9', 'B_10'], 0.24],)
2018-07-18 14:47:55,948 - EXPERIMENT ([0, 62, 0.3, 0.1, ['A_1', 'A_2', 'A_3', 'A_4', 'A_5', 'B_6', 'B_7', 'B_8', 'B_9', 'B_10'], 0.39],)
2018-07-18 14:47:55,954 - EXPERIMENT ([0, 63, 0.3, 0.03, ['A_1', 'A_2', 'A_3', 'A_4', 'A_5', 'B_6', 'B_7', 'B_8', 'B_9', 'B_10'], 0.35],)
2018-07-18 14:47:55,959 - EXPERIMENT ([0, 64, 0.33, 0.35, ['A_1', 'A_2', 'A_3', 'A_4', 'A_5', 'B_6', 'B_7', 'B_8', 'B_9', 'B_10'], 0.18],)
2018-07-18 14:47:55,964 - EXPERIMENT ([0, 65, 0.05, 0.28, ['A_1', 'A_2', 'A_3', 'A_4', 'B_5', 'B_6', 'B_7', 'B_8', 'B_9', 'B_10'], 0.19],)
2018-07-18 14:47:55,969 - EXPERIMENT ([0, 66, 0.42, 0.47, ['A_1', 'A_2', 'A_3', 'A_4', 'A_5', 'B_6', 'B_7', 'B_8', 'B_9', 'B_10'], 0.23],)
2018-07-18 14:47:55,974 - EXPERIMENT ([0, 67, 0.49, 0.16, ['A_1', 'A_2', 'A_3', 'A_4', 'A_5', 'A_6', 'B_7', 'B_8', 'B_9', 'B_10'], 0.14],)
2018-07-18 14:47:55,979 - EXPERIMENT ([0, 68, 0.43, 0.14, ['A_1', 'A_2', 'A_3', 'A_4', 'A_5', 'B_6', 'B_7', 'B_8', 'B_9', 'B_10'], 0.15],)
2018-07-18 14:47:55,990 - EXPERIMENT ([0, 69, -0.09, 0.31, ['A_1', 'A_2', 'A_3', 'A_4', 'B_5', 'B_6', 'B_7', 'B_8', 'B_9', 'B_10'], 0.21],)
2018-07-18 14:47:55,998 - EXPERIMENT ([0, 70, 0.21, 0.45, ['A_1', 'A_2', 'A_3', 'A_4', 'A_5', 'B_6', 'B_7', 'B_8', 'B_9', 'B_10'], 0.36],)
2018-07-18 14:47:56,007 - EXPERIMENT ([0, 71, 0.32, 0.14, ['A_1', 'A_2', 'A_3', 'A_4', 'A_5', 'B_6', 'B_7', 'B_8', 'B_9', 'B_10'], 0.15],)
2018-07-18 14:47:56,015 - EXPERIMENT ([0, 72, 0.31, 0.07, ['A_1', 'A_2', 'A_3', 'A_4', 'A_5', 'B_6', 'B_7', 'B_8', 'B_9', 'B_10'], 0.28],)
2018-07-18 14:47:56,020 - EXPERIMENT ([0, 73, 0.02, 0.32, ['A_1', 'A_2', 'A_3', 'A_4', 'B_5', 'B_6', 'B_7', 'B_8', 'B_9', 'B_10'], 0.01],)
2018-07-18 14:47:56,029 - EXPERIMENT ([0, 74, -0.08, 0.12, ['A_1', 'A_2', 'A_3', 'A_4', 'B_5', 'B_6', 'B_7', 'B_8', 'B_9', 'B_10'], 0.04],)
2018-07-18 14:47:56,038 - EXPERIMENT ([0, 75, 0.26, 0.38, ['A_1', 'A_2', 'A_3', 'A_4', 'B_5', 'A_6', 'B_7', 'B_8', 'B_9', 'B_10'], 0.23],)
2018-07-18 14:47:56,044 - EXPERIMENT ([0, 76, 0.07, 0.19, ['A_1', 'A_2', 'A_3', 'A_4', 'B_5', 'B_6', 'B_7', 'B_8', 'B_9', 'B_10'], 0.0],)
2018-07-18 14:47:56,053 - EXPERIMENT ([0, 77, 0.14, 0.25, ['A_1', 'A_2', 'A_3', 'A_4', 'A_5', 'B_6', 'B_7', 'B_8', 'B_9', 'B_10'], 0.33],)
2018-07-18 14:47:56,061 - EXPERIMENT ([0, 78, 0.19, 0.08, ['A_1', 'A_2', 'A_3', 'A_4', 'A_5', 'B_6', 'B_7', 'B_8', 'B_9', 'B_10'], 0.25],)
2018-07-18 14:47:56,066 - EXPERIMENT ([0, 79, 0.67, 0.43, ['A_1', 'A_2', 'A_3', 'A_4', 'A_5', 'A_6', 'B_7', 'B_8', 'B_9', 'B_10'], 0.2],)
