experiment,run,theta,delta,choice1,choice2,choice3,choice4,choice5,choice6,choice7,choice8,choice9,choice10,epsilon,numA,expected numA,hits,switch,cross_term
4,41,0.47,0.18,A_1,A_2,A_3,A_4,A_5,A_6,B_7,B_8,B_9,B_10,0.4,6,6,1,1,0.072
4,42,0.33,0.47,A_1,A_2,A_3,A_4,B_5,A_6,A_7,B_8,B_9,B_10,0.19,6,5,0,3,0.08929999999999999
4,43,0.1,0.27,A_1,A_2,A_3,A_4,B_5,B_6,B_7,B_8,B_9,B_10,0.06,4,4,1,1,0.0162
4,44,0.36,0.45,A_1,A_2,A_3,A_4,A_5,B_6,B_7,B_8,B_9,B_10,0.2,5,5,1,1,0.09000000000000001
4,45,0.2,0.34,A_1,A_2,A_3,A_4,A_5,A_6,B_7,B_8,B_9,B_10,0.38,6,5,0,1,0.1292
4,46,0.2,0.34,A_1,A_2,A_3,A_4,A_5,B_6,B_7,B_8,B_9,B_10,0.31,5,5,1,1,0.10540000000000001
4,47,0.43,0.16,A_1,A_2,A_3,A_4,A_5,B_6,B_7,B_8,B_9,B_10,0.36,5,6,0,1,0.0576
4,48,0.46,0.28,A_1,A_2,A_3,A_4,A_5,B_6,B_7,B_8,B_9,B_10,0.28,5,6,0,1,0.07840000000000001
4,49,-0.03,0.49,A_1,A_2,A_3,A_4,B_5,B_6,B_7,B_8,B_9,B_10,0.21,4,4,1,1,0.10289999999999999
4,50,-0.06,0.23,A_1,A_2,A_3,A_4,B_5,B_6,B_7,B_8,B_9,B_10,0.21,4,4,1,1,0.0483
4,51,0.2,0.39,A_1,A_2,A_3,A_4,A_5,B_6,B_7,B_8,B_9,B_10,0.36,5,5,1,1,0.1404
4,52,0.33,0.06,A_1,A_2,A_3,A_4,A_5,B_6,B_7,B_8,B_9,B_10,0.08,5,5,1,1,0.0048
4,53,0.14,0.37,A_1,A_2,A_3,A_4,B_5,B_6,B_7,B_8,B_9,B_10,0.11,4,4,1,1,0.0407
4,54,0.04,0.09,A_1,A_2,A_3,A_4,B_5,B_6,B_7,B_8,B_9,B_10,0.02,4,4,1,1,0.0018
4,55,0.39,0.16,A_1,A_2,A_3,A_4,A_5,B_6,B_7,B_8,B_9,B_10,0.11,5,5,1,1,0.0176
4,56,0.58,0.04,A_1,A_2,A_3,A_4,A_5,A_6,B_7,B_8,B_9,B_10,0.09,6,6,1,1,0.0036
4,57,-0.09,0.42,A_1,A_2,A_3,B_4,B_5,B_6,B_7,B_8,B_9,B_10,0.03,3,4,0,1,0.012599999999999998
4,58,0.13,0.44,A_1,A_2,A_3,A_4,B_5,B_6,B_7,B_8,B_9,B_10,0.14,4,4,1,1,0.06160000000000001
4,59,0.1,0.28,A_1,A_2,A_3,A_4,B_5,B_6,B_7,B_8,B_9,B_10,0.26,4,4,1,1,0.0728
4,60,0.62,0.4,A_1,A_2,A_3,A_4,A_5,A_6,B_7,B_8,B_9,B_10,0.34,6,6,1,1,0.136
4,61,0.59,0.28,A_1,A_2,A_3,A_4,A_5,A_6,B_7,B_8,B_9,B_10,0.03,6,6,1,1,0.008400000000000001
4,62,-0.03,0.22,A_1,A_2,A_3,A_4,B_5,B_6,B_7,B_8,B_9,B_10,0.07,4,4,1,1,0.015400000000000002
4,63,-0.12,0.16,A_1,A_2,A_3,A_4,B_5,B_6,B_7,B_8,B_9,B_10,0.08,4,4,1,1,0.0128
4,64,0.02,0.01,A_1,A_2,A_3,A_4,B_5,B_6,B_7,B_8,B_9,B_10,0.08,4,4,1,1,0.0008
4,65,0.2,0.1,A_1,A_2,A_3,A_4,A_5,B_6,B_7,B_8,B_9,B_10,0.03,5,5,1,1,0.003
4,66,-0.04,0.32,A_1,A_2,A_3,A_4,B_5,B_6,B_7,B_8,B_9,B_10,0.09,4,4,1,1,0.0288
4,67,0.24,0.36,A_1,A_2,A_3,A_4,A_5,B_6,B_7,B_8,B_9,B_10,0.22,5,5,1,1,0.07919999999999999
4,68,0.09,0.44,A_1,A_2,A_3,A_4,A_5,B_6,B_7,B_8,B_9,B_10,0.31,5,4,0,1,0.1364
4,69,0.58,0.24,A_1,A_2,A_3,A_4,A_5,A_6,B_7,B_8,B_9,B_10,0.16,6,6,1,1,0.0384
4,70,-0.04,0.34,A_1,A_2,A_3,A_4,A_5,B_6,B_7,B_8,B_9,B_10,0.06,5,4,0,1,0.0204
4,71,0.5,0.28,A_1,A_2,A_3,A_4,A_5,B_6,B_7,B_8,B_9,B_10,0.37,5,6,0,1,0.10360000000000001
4,72,0.15,0.14,A_1,A_2,A_3,A_4,A_5,B_6,B_7,B_8,B_9,B_10,0.35,5,5,1,1,0.049
4,73,0.01,0.39,A_1,A_2,A_3,A_4,B_5,B_6,B_7,B_8,B_9,B_10,0.04,4,4,1,1,0.015600000000000001
4,74,0.12,0.23,A_1,A_2,A_3,A_4,A_5,B_6,B_7,B_8,B_9,B_10,0.33,5,4,0,1,0.07590000000000001
4,75,-0.1,0.32,A_1,A_2,A_3,A_4,B_5,B_6,B_7,B_8,B_9,B_10,0.15,4,4,1,1,0.048
4,76,0.14,0.37,A_1,A_2,A_3,A_4,B_5,B_6,B_7,B_8,B_9,B_10,0.02,4,4,1,1,0.0074
4,77,-0.01,0.06,A_1,A_2,A_3,A_4,B_5,B_6,B_7,B_8,B_9,B_10,0.22,4,4,1,1,0.0132
4,78,0.14,0.14,A_1,A_2,A_3,A_4,A_5,B_6,B_7,B_8,B_9,B_10,0.06,5,4,0,1,0.008400000000000001
4,79,-0.07,0.08,A_1,A_2,A_3,A_4,B_5,B_6,B_7,B_8,B_9,B_10,0.09,4,4,1,1,0.0072
4,80,0.25,0.46,A_1,A_2,A_3,A_4,B_5,A_6,B_7,B_8,B_9,B_10,0.37,5,5,1,3,0.17020000000000002
4,81,0.61,0.11,A_1,A_2,A_3,A_4,A_5,A_6,B_7,B_8,B_9,B_10,0.12,6,6,1,1,0.0132
4,82,0.12,0.11,A_1,A_2,A_3,A_4,B_5,B_6,B_7,B_8,B_9,B_10,0.25,4,4,1,1,0.0275
